Counter_x	Image	class label	Myr	Viewpoint	# Bulges	Sep	Flux Ratio	Gini	M20	Concentration (C)	Asymmetry (A)	Clumpiness (S)	Sersic N	Shape Asymmetry (A_S)	Counter_y	$\Delta$PA	v_asym	s_asym	resids	\lambdare	$\epsilon$	A	$A_2$	deltapos	deltapos2	nspax	re	$\mu_V$	$\sigma_{V}$	skewvel	$h_{4,V}$	$\mu_{\sigma}$	$\sigma_{\sigma}$	skewsig	$h_{4,\sigma}$	$|h_{3,V}|$	$|h_{3,\sigma}|$	random
118	fg1_m13	1	0.39	3	2	10.515344942247252	3.8452094414562787	0.5505461314484896	-0.8573530640662929	3.19785791435241	0.2074628775996438	0.028964766981747894	0.8556	0.39832545181328	10	14.18	0.02	0.06	6.88	0.87	0.29	6.75	12.47	1.09	0.48	1256	15.27	17.32	69.35	-0.07	-1.17	58.58	18.26	0.94	3.32	0.07	0.94	1.42
119	fg1_m13	1	0.49	3	2	13.857336512556193	4.177149317984333	0.6193696988765285	-0.8811657630869413	4.115258864453474	0.2133192687197984	-0.08278040658016457	0.6509999999999999	0.737296540806256	17	26.15	0.03	0.09	8.75	0.78	0.58	10.81	33.03	1.09	0.77	1062	16.55	92.56	105.88	0.2	-1.28	71.77	22.63	0.02	-0.42	0.2	0.02	2.06
120	fg1_m13	1	0.59	3	2	15.682260980873362	2.8528569795764924	0.606897350853092	-1.622094880354973	3.0405409576586764	0.18864600808661847	0.05427483466511488	0.7954	0.4229139181388433	24	39.99	0.05	0.06	10.23	0.7	0.52	3.1	7.96	1.52	0.48	1664	22.68	50.43	85.46	-0.1	-1.16	72.17	18.87	0.02	-0.77	0.1	0.02	-2.17
121	fg1_m13	1	0.88	3	2	9.89062891635873	11.42878334789773	0.5869710453877326	-2.4759895857429357	4.412096870969606	0.055306446626479266	-0.006251452664344239	3.4165	0.45693743210354	37	1.71	0.03	0.04	10.49	0.39	0.19	4.03	4.09	0.96	0.48	368	9.15	13.55	57.04	0.16	-0.86	97.32	18.11	0.57	-0.25	0.16	0.57	-1.79
122	fg1_m13	1	1.17	3	1	0.0	0.0	0.6306408944357601	-2.6496226168732337	4.841902141509485	-0.03347910243605878	-0.02676478746830965	3.3386	0.28077215482774903	43	22.44	0.04	0.05	9.71	0.39	0.21	3.97	5.47	0.86	0.48	368	8.66	4.09	57.03	-0.05	-0.92	101.94	18.78	0.61	-0.26	0.05	0.61	-0.06
123	fg1_m13	1	1.27	3	1	0.0	0.0	0.6078557152477561	-2.2945043622346724	5.004947430186286	-0.024191808279257047	-0.04817733480686884	3.5485	0.2281576272175266	48	5.87	0.03	0.03	8.0	0.42	0.59	1.29	1.68	0.86	0.48	368	11.26	8.59	46.16	-0.04	-1.11	95.31	19.32	0.79	-0.19	0.04	0.79	-0.09
124	fg1_m13	1	1.37	3	1	0.0	0.0	0.5781740819340079	-2.4808309250749114	4.501150812593121	0.010025959664768573	-0.001975331006310321	3.5111	0.0896209255670447	54	86.11	0.04	0.04	8.99	0.37	0.11	10.22	16.15	0.68	0.77	368	7.78	1.14	63.23	-0.11	-1.13	107.95	18.7	0.51	-0.6	0.11	0.51	0.33
125	fg1_m13	1	1.42	3	1	0.0	0.0	0.6264674342228147	-2.614226460050689	4.9448985298156245	-0.07224812459064335	-0.08532045720301684	3.6729	0.24797691896438984	59	31.26	0.03	0.03	8.02	0.39	0.6	2.17	3.87	0.96	0.48	368	9.16	8.22	52.41	0.0	-1.12	100.81	20.83	0.75	-0.28	0.0	0.75	-0.7
126	fg1_m13	1	1.47	3	1	0.0	0.0	0.5862068327377448	-2.5280485565145248	4.849703428719948	-0.02210281843517111	-0.005080256278977674	3.5743	0.2306761438412239	64	20.34	0.04	0.04	8.94	0.4	0.58	2.48	2.52	0.68	0.48	368	10.06	6.01	48.34	-0.08	-1.15	100.41	20.77	0.85	0.01	0.08	0.85	-1.17
127	fg1_m13	1	1.52	3	1	0.0	0.0	0.5712209945485617	-2.4525186917205613	4.4526207674419815	0.006737452756253442	-0.009782360534455484	3.5986	0.2922600450551792	69	32.33	0.03	0.04	10.95	0.43	0.28	5.94	6.55	0.68	0.48	368	9.26	2.7	62.75	0.07	-1.07	107.67	20.62	0.56	-0.34	0.07	0.56	-1.2
128	fg1_m13	1	1.66	3	1	0.0	0.0	0.5825654556749079	-2.523616207399193	4.672167537132899	0.04553199323421498	-0.004185142189656015	3.5272	0.14334015470544098	75	22.18	0.04	0.04	9.55	0.39	0.22	3.63	4.16	0.96	0.48	368	8.63	10.77	55.86	-0.03	-1.1	102.34	19.69	0.62	-0.38	0.03	0.62	2.39
129	fg1_m13	1	1.71	3	1	0.0	0.0	0.5703621850180649	-2.450258825536896	4.6287967745318115	0.002154883417566072	-0.007049528674533608	3.2329	0.11576774088955667	82	15.92	0.03	0.05	9.96	0.39	0.34	2.56	3.73	0.86	0.48	368	8.47	13.37	59.76	0.01	-1.07	105.52	19.83	0.57	-0.43	0.01	0.57	-0.55
130	fg1_m13	1	1.81	3	2	15.946791520727816	5.363397682442381	0.6182211815861198	-2.5514118628237257	4.720561231403032	-0.02052413574318429	-0.17382883756605835	3.3310000000000004	0.412723455374754	94	6.84	0.04	0.04	8.9	0.42	0.42	1.68	1.76	0.86	0.48	368	9.39	20.4	52.23	0.04	-1.19	101.65	21.12	0.75	-0.26	0.04	0.75	1.72
