Counter_x	Image	class label	Myr	Viewpoint	# Bulges	Sep	Flux Ratio	Gini	M20	Concentration (C)	Asymmetry (A)	Clumpiness (S)	Sersic N	Shape Asymmetry (A_S)	Counter_y	$\Delta$PA	v_asym	s_asym	resids	\lambdare	$\epsilon$	A	$A_2$	deltapos	deltapos2	nspax	re	$\mu_V$	$\sigma_{V}$	skewvel	$h_{4,V}$	$\mu_{\sigma}$	$\sigma_{\sigma}$	skewsig	$h_{4,\sigma}$	$|h_{3,V}|$	$|h_{3,\sigma}|$	random
80	fg3_m15	0	0.05	4	1	0.0	0.0	0.5279717711709815	-1.9178390709103117	3.015664833452746	-0.05027690013155718	-0.024047835081931083	1.4037	0.08198497864498347	4	0.55	0.03	0.07	9.43	0.68	0.24	2.75	8.68	0.68	0.48	764	13.37	45.19	75.44	-0.01	-1.27	74.61	22.68	0.27	0.09	0.01	0.27	2.22
81	fg3_m15	1	0.59	4	1	0.0	0.0	0.5626654748233141	-1.684651121513179	2.707679553007753	0.08152077506168717	0.05624704132164305	0.9065	0.3716482611285946	11	19.22	0.04	0.05	10.75	0.7	0.45	2.15	5.73	0.86	0.48	1149	16.05	6.13	81.27	-0.04	-1.38	68.22	22.52	0.16	0.07	0.04	0.16	-0.92
82	fg3_m15	1	0.88	4	1	0.0	0.0	0.5153511662307493	-1.8950576776066768	2.8637997990249016	0.036205183269851386	0.020425890687799517	1.3465	0.2379251700249045	18	1.79	0.03	0.03	8.69	0.61	0.24	1.78	3.78	0.86	0.48	764	12.41	13.22	67.71	0.03	-1.34	73.51	20.3	0.24	0.04	0.03	0.24	-0.89
83	fg3_m15	1	1.17	4	1	0.0	0.0	0.548973521846978	-1.942626504562176	3.105985466131333	0.019149807259847367	0.0055235417541752325	1.4207	0.16178473966344542	25	2.92	0.04	0.05	7.88	0.59	0.17	7.02	14.8	1.09	0.77	764	11.58	16.14	66.98	0.21	-1.28	71.75	22.13	0.04	0.03	0.21	0.04	-0.46
84	fg3_m15	1	1.47	4	1	0.0	0.0	0.5225898544808516	-1.9483034962071335	3.04242480959994	0.03940884638095735	0.001429983542529804	1.4606	0.08625603783926572	32	1.98	0.04	0.05	8.76	0.58	0.18	2.1	4.65	0.86	0.48	764	11.43	5.7	65.79	-0.07	-1.33	72.21	18.92	0.24	0.04	0.07	0.24	1.2
85	fg3_m15	1	1.76	4	1	0.0	0.0	0.5152637192653234	-1.9391118504710056	3.1500556516711034	0.0028618109259056354	0.00022754303881507108	1.5462	0.1505096000901343	39	14.13	0.03	0.04	8.39	0.59	0.31	2.58	6.15	0.68	0.48	764	12.47	8.88	63.35	-0.02	-1.35	70.27	20.32	0.23	0.07	0.02	0.23	0.49
86	fg3_m15	1	2.05	4	1	0.0	0.0	0.5436996935718325	-1.991413294054296	3.16786360590148	-0.04005599232494063	-0.013043856194219943	1.5799	0.12013467827876265	46	4.41	0.04	0.04	8.0	0.57	0.23	1.77	4.28	0.86	0.48	764	12.2	1.25	61.33	-0.06	-1.35	71.67	18.74	0.56	0.04	0.06	0.56	0.14
87	fg3_m15	1	2.35	4	1	0.0	0.0	0.4824192455907711	-1.9693806754827252	3.0767402880809014	-0.026365583443304155	-0.005311055431372035	1.6193	0.0496560938839918	53	0.16	0.03	0.04	8.89	0.53	0.28	3.57	4.76	0.96	0.48	368	11.1	1.78	57.14	-0.02	-1.31	83.91	18.49	0.16	-0.15	0.02	0.16	-0.58
88	fg3_m15	1	2.93	4	1	0.0	0.0	0.6004175967186957	-1.9825264041094763	3.2042064307496827	0.13718139621927966	-0.0984594972444986	1.6642	0.4032618689337807	67	89.67	0.05	0.03	7.96	0.41	0.14	2.79	3.39	0.68	0.48	368	11.2	4.29	39.31	-0.09	-1.24	84.67	16.09	-0.23	-0.21	0.09	0.23	-1.66
89	fg3_m15	1	3.13	4	2	7.736370923688259	16.637190905272607	0.5759925067570338	-1.1463805208037336	3.5300315505243987	0.08335041412694033	-0.012097807029304864	1.6804	0.4911390836296727	74	11.53	0.04	0.04	7.38	0.41	0.16	9.14	11.04	1.09	0.48	764	11.42	0.08	42.86	-0.12	-1.25	76.43	17.18	0.48	-0.26	0.12	0.48	-0.02
95	fg3_m15	0	4.29	4	1	0.0	0.0	0.6017981389982029	-2.1187151054333517	3.24250691915982	0.006807288384299608	-0.10362129147397832	1.8961	0.09973971961871622	116	36.73	0.05	0.03	8.28	0.37	0.08	5.19	4.98	0.68	0.48	368	10.16	11.14	39.41	-0.02	-1.3	98.26	16.98	0.26	-0.51	0.02	0.26	0.9
96	fg3_m15	0	4.49	4	1	0.0	0.0	0.5905269059351493	-2.0876879076177635	3.265219009235971	-0.05783445247833952	-0.14849503907503284	1.8337	0.2618860800741533	123	0.38	0.04	0.03	9.45	0.39	0.1	7.12	8.7	0.86	0.48	368	11.17	15.03	39.93	-0.02	-1.23	96.91	17.13	0.06	-0.59	0.02	0.06	0.13
97	fg3_m15	0	4.68	4	1	0.0	0.0	0.5865691624745543	-2.0588031560556925	3.1995986869078723	-0.005423674215778471	-0.12736454383272924	1.7988	0.28177616053452315	130	82.78	0.05	0.03	8.62	0.37	-0.01	10.88	11.67	0.96	0.48	368	10.86	14.42	37.52	0.05	-1.22	96.8	18.3	-0.08	-0.46	0.05	0.08	0.24
98	fg3_m15	0	4.88	4	1	0.0	0.0	0.5872320069007043	-2.0860190491734385	3.229464154193796	-0.05494159202120915	-0.10752060166044902	1.7938	0.1517824251285888	137	9.67	0.06	0.04	8.1	0.34	0.2	11.47	17.48	0.68	0.48	368	9.98	6.72	37.49	-0.1	-1.28	96.7	18.12	0.23	-0.4	0.1	0.23	-1.25
99	fg3_m15	0	0.05	5	1	0.0	0.0	0.5112977436482706	-1.8771709966842367	2.973486173159709	-0.0630966891161059	-0.003800198837377267	1.2773	0.05471164051747311	5	0.31	0.02	0.05	7.6	0.71	0.42	2.67	13.6	0.91	0.77	1256	15.11	7.79	95.06	-0.01	-1.16	64.5	25.28	0.47	-0.26	0.01	0.47	0.52
100	fg3_m15	1	0.59	5	1	0.0	0.0	0.5855607179972467	-1.5867907274214446	2.3516414455983576	0.10047407849216496	0.03388549088336593	0.7788	0.344983300429596	12	3.8	0.07	0.08	20.39	0.67	0.51	3.33	11.01	0.43	0.77	721	13.33	20.83	110.12	-0.17	-1.08	92.86	23.16	0.25	-0.46	0.17	0.25	0.98
101	fg3_m15	1	0.88	5	1	0.0	0.0	0.5413763191639489	-1.8189300510069888	2.6729676529491	0.026785299052040558	0.014930373187771144	1.0645	0.2330375964270338	19	2.52	0.03	0.05	15.86	0.67	0.59	1.74	5.0	0.68	0.48	758	12.64	11.5	99.08	0.02	-1.12	82.28	23.76	0.43	0.03	0.02	0.43	-0.75
